aaa	aaa	aaa	aaa	aaa
 TG - PR: 1AO3	Corujinha - 21:10:00	0,41666667	416,6666667	['01', '07', '12']
 TG - PR: 1AO5	Corujinha - 21:10:00	0,41666667	41,66666667	['01', '07', '12']
 TG - PR: 3AO7	Corujinha - 21:10:00	0,41666667	416,6666667	['01', '07', '12']
 DG - PR: 1AO5	Corujinha - 21:10:00	0,04166667	0,66666667	['01', '07']
 DG - PR: 3AO7	Corujinha - 21:10:00	0,05555556	0,88888889	['01', '07']
 DG - PR: 1E2	Corujinha - 21:10:00	0,04166667	6,66666667	['01', '07']
 DG - PR: 1AO5	Corujinha - 21:10:00	0,04166667	0,66666667	['01', '12']
 DG - PR: 3AO7	Corujinha - 21:10:00	0,05555556	0,88888889	['01', '12']
 DG - PR: 1E2	Corujinha - 21:10:00	0,04166667	6,66666667	['01', '12']
 TG - PR: 1AO3	Corujinha - 21:10:00	0,41666667	416,6666667	['03', '06', '08']
 TG - PR: 3AO7	Corujinha - 21:10:00	0,41666667	416,6666667	['03', '06', '08']
 TG - PR: 1AO5	Corujinha - 21:10:00	0,41666667	41,66666667	['03', '06', '08']
 DG - PR: 3AO7	Corujinha - 21:10:00	0,05555556	0,88888889	['03', '06']
 DG - PR: 1E2	Corujinha - 21:10:00	0,04166667	6,66666667	['03', '06']
 DG - PR: 1AO5	Corujinha - 21:10:00	0,04166667	0,66666667	['03', '06']
 DG - PR: 1AO5	Corujinha - 21:10:00	0,04166667	0,66666667	['03', '08']
 DG - PR: 3AO7	Corujinha - 21:10:00	0,05555556	0,88888889	['03', '08']
 DG - PR: 1E2	Corujinha - 21:10:00	0,04166667	6,66666667	['03', '08']
 TG - PR: 1AO5	Corujinha - 21:10:00	0,41666667	41,66666667	['05', '06', '12']
 TG - PR: 1AO3	Corujinha - 21:10:00	0,41666667	416,6666667	['05', '06', '12']
 TG - PR: 3AO7	Corujinha - 21:10:00	0,41666667	416,6666667	['05', '06', '12']
 DG - PR: 1E2	Corujinha - 21:10:00	0,04166667	6,66666667	['05', '06']
 DG - PR: 1AO5	Corujinha - 21:10:00	0,04166667	0,66666667	['05', '06']
 DG - PR: 3AO7	Corujinha - 21:10:00	0,05555556	0,88888889	['05', '06']
 DG - PR: 3AO7	Corujinha - 21:10:00	0,05555556	0,88888889	['05', '12']
 DG - PR: 1E2	Corujinha - 21:10:00	0,04166667	6,66666667	['05', '12']
